Xavier Institute of Engineering,,,,,,,,,,,,
"Mahim Causeway, Opp. Raheja Hospital, Mumbai - 400 016,Mumbai,400 016",,,,,,,,,,,,
Accession Register,,,,,,,,,,,,
 Accession number from 000001 to 013194,,,,,,,,,,,,
,,,,,,,,,,,,
Date,Accession Number,Author,Title-Edition-ISBN,Publisher Details,Year,Pages,ISBN,Supplier,Call Number,Price,Bill No. & date,
,000081,,,,,,,,,,,
15-May-05,000082,"Nagrath, I. J. & Gopal, M.",Systems : modelling and analysis .-1st,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1982,"xii, 647 p.",,Union Book Stall,"003.3NAG",650.00,"B:T-23/200515-May-2005",
,000083,,,,,,,,,,,
15-May-05,000084,"Alciatore, David G. & Histand, Michael B.",Introduction to mechatronics and measurement systems .-2nd .-9780070529106,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xxi, 466 p.",9780070529106,Union Book Stall,"620.101ALC",590.00,"B:T-21/200515-May-2005",
,000085,,,,,,,,,,,
15-May-05,000086,"Karunakaran, S.",Mechatronics .-1st .-9780074636435,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1998,"xviii, 461 p.",9780074636435,Union Book Stall,"620.101KAR",735.00,"B:T-22/200515-May-2005",
,000087,,,,,,,,,,,
,000088,,,,,,,,,,,
15-May-05,000089,"Salivahanan, S.; Vallavaraj, A. & Gnanapriya, C.",Digital signal processing .-1st .-9780074639962,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2000,"xiii, 808 p.",9780074639962,Union Book Stall,"621.382 2SAL","1,800.00","B:T-23/200515-May-2005",
,000090,,,,,,,,,,,
,000091,,,,,,,,,,,
,000092,,,,,,,,,,,
,000093,,,,,,,,,,,
,000094,,,,,,,,,,,
,000095,,,,,,,,,,,
,000096,,,,,,,,,,,
15-May-05,000097,"Deshmukh, Ajay V.",Microcontrollers : theory and applications .-1st .-9780070585959,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2005,"xix, 334 p.",9780070585959,Union Book Stall,"004.145DES",450.00,"B:T-21/200515-May-2005",
,000098,,,,,,,,,,,
15-May-05,000099,"Ram, Badri",Advanced microprocessors and interfacing .-1st .-9780070434486,"Tata McGraw-Hill Publishing Company Limited, Delhi",2001,"xv, 388 p.",9780070434486,Union Book Stall,"004.16RAM",320.00,"B:T-21/200515-May-2005",
,000100,,,,,,,,,,,
15-May-05,000101,"Hall, Douglas V.",Microprocessors and interfacing : programming and hardware .-2nd .-9780070601673,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,"xiv, 624 p.",9780070601673,Union Book Stall,"004.16HAL","1,475.00","B:T-22/200515-May-2005",
,000102,,,,,,,,,,,
,000103,,,,,,,,,,,
,000104,,,,,,,,,,,
,000105,,,,,,,,,,,
15-May-05,000106,"Bhattacharya, S. K. & Chatterjee, S.",Industrial electronics and control .-1st .-9780074624777,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1995,"xiii, 649 p.",9780074624777,Union Book Stall,"621.381BHA",199.00,"B:T-21/200515-May-2005",
15-May-05,000107,"Antoniou, Andreas","Digital filters : analysis, design and applications .-2nd .-9780074635124","Tata McGraw-Hill Publishing Company Limited, New Delhi",1999,"xxii, 689 p.",9780074635124,Union Book Stall,"621.381 532 4ANT",520.00,"B:T-21/200515-May-2005",
,000108,,,,,,,,,,,
15-May-05,000109,"Cohen, Bernard L.",Concept of nuclear physics .-1st .-9780070992498,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2005,"xii, 435 p.",9780070992498,Union Book Stall,"539.7COH",430.00,"B:T-21/200515-May-2005",
,000110,,,,,,,,,,,
15-May-05,000111,"Beiser, Arthur",Concept of modern physics .-6th .-9780070495395,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xiii, 542 p.",9780070495395,Union Book Stall,"621BEI",550.00,"B:T-21/200515-May-2005",
,000112,,,,,,,,,,,
15-May-05,000113,"Millman, Jacob & Halkias, Christos C.",Integrated electronics : analog and digital circuits and systems .-1st .-9780074622452,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1972,"xv, 910 p.",9780074622452,Union Book Stall,"621.381 73MIL",570.00,"B:T-23/200515-May-2005",
,000114,,,,,,,,,,,
15-May-05,000115,"Neamen, Donald A.",Electronic circuit analysis and design .-2nd .-9780070486515,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"xxx, 1231 p.",9780070486515,Union Book Stall,"621.381 5NEA",990.00,"B:T-23/200515-May-2005",
,000116,,,,,,,,,,,
15-May-05,000117,"Hillier, Frederick S. & Liberman, Gerald J.",Introduction to operations research .-7th .-9780070473874,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2001,"xxix, 1214 p.",9780070473874,Union Book Stall,"658.403 2HIL",525.00,"B:T-22/200515-May-2005",
15-May-05,000118,"Bhargava, N. N.; Kulshreshtha, D. C. & Gupta, S. C.",Basic electronics and liner circuits .-1st .-9780074519653,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1984,"xiii, 490 p.",9780074519653,Union Book Stall,"621.381 32BHA","1,700.00","B:T-21/200515-May-2005",
,000119,,,,,,,,,,,
,000120,,,,,,,,,,,
,000121,,,,,,,,,,,
,000122,,,,,,,,,,,
,000123,,,,,,,,,,,
,000124,,,,,,,,,,,
,000125,,,,,,,,,,,
,000126,,,,,,,,,,,
,000127,,,,,,,,,,,
15-May-05,000128,"Sen, P. C.",Power Electronics .-1st .-9780074624005,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1987,"xv, 1031 p.",9780074624005,Union Book Stall,"621.317SEN",650.00,"B:T-22/200515-May-2005",
,000129,,,,,,,,,,,
15-May-05,000130,"Cathey, Jimmie J.",Schaum's outline of theory and problems of electronic devices and circuits .-2nd .-9780070583993,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"vii, 310 p.",9780070583993,Union Book Stall,"621.381 33CAT",525.00,"B:T-21/200515-May-2005",
,000131,,,,,,,,,,,
,000132,,,,,,,,,,,
15-May-05,000133,"Salivahanan, S.; Kumar, N. Suresh & Vallavaraj, A.",Electronic devices and circuits .-1st .-9780074633861,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1998,"xv, 705 p.",9780074633861,Union Book Stall,"621.381 33SAL",420.00,"B:T-23/200515-May-2005",
,000134,,,,,,,,,,,
15-May-05,000135,"Millman, Jacob & Halkias, Christos C.",Electronic devices and circuits .-1st,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1991,"xiii, 752 p.",,Union Book Stall,"621.381 33MIL",705.00,"B:T-23/200515-May-2005",
,000136,,,,,,,,,,,
,000137,,,,,,,,,,,
15-May-05,000138,"Franco, Sergio",Design with operational amplifiers and analog integrated circuits .-3rd .-9780070530447,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"xiv, 658 p.",9780070530447,Union Book Stall,"621.381 5FRA",250.00,"B:T-22/200515-May-2005",
15-May-05,000139,"Grob, Bernard & Schultz, Mitchel E.",Basic electronics .-9th .-9780070495098,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xi, 1060 p.",9780070495098,Union Book Stall,"621.381GRO",575.00,"B:T-22/200515-May-2005",
15-May-05,000140,"Grob, Bernard & Schultz, Mitchel E.",Basic electronics .-9th .-9780070495098,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xi, 1060 p.",9780070495098,Union Book Stall,"621.381GRO","1,185.00","B:T-22/200515-May-2005",
,000141,,,,,,,,,,,
,000142,,,,,,,,,,,
15-May-05,000143,BHEL,Transformers .-2nd .-9780070483156,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xxvi, 614 p.",9780070483156,Union Book Stall,"621.314BHE",450.00,"B:T-21/200515-May-2005",
15-May-05,000144,"Frenzel, Louis E.",Communication electronics : principles and applications .-3rd .-9780070483989,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1999,"xii, 532 p.",9780070483989,Union Book Stall,"621.382FRE",520.00,"B:T-22/200515-May-2005",
,000145,,,,,,,,,,,
15-May-05,000146,"Curtin, Dennis P.; Foley, Kim; Sen, Kunal & Morin, Cathleen",Information technology : the braking wave .-1st .-9780074635582,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1998,"xx, 300 p.",9780074635582,Union Book Stall,"004CUR",796.00,"B:T-21/200515-May-2005",
,000147,,,,,,,,,,,
,000148,,,,,,,,,,,
,000149,,,,,,,,,,,
15-May-05,000150,"Hayt, William H. & Buck, John A.",Engineering electromagnetics .-6th .-9780070445802,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2001,"xiii, 560 p.",9780070445802,Union Book Stall,"621.34HAY","1,050.00","B:T-22/200515-May-2005",
,000151,,,,,,,,,,,
,000152,,,,,,,,,,,
,000153,,,,,,,,,,,
,000154,,,,,,,,,,,
15-May-05,000155,"Neamen, Donald A.",Semiconductor physics and devices : basic principles .-3rd .-9780070529052,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2002,"xxiv, 746 p.",9780070529052,Union Book Stall,"621NEA","1,625.00","B:T-23/200515-May-2005",
,000156,,,,,,,,,,,
,000157,,,,,,,,,,,
,000158,,,,,,,,,,,
,000159,,,,,,,,,,,
15-May-05,000160,"Millman, Jacob & Grabel, Arvin",Microelectronics : digital and analog circuits and systems .-2nd .-9780074637364,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1999,"xx, 1001 p.",9780074637364,Union Book Stall,"621.381MIL","1,725.00","B:T-23/200515-May-2005",
,000161,,,,,,,,,,,
,000162,,,,,,,,,,,
,000163,,,,,,,,,,,
,000164,,,,,,,,,,,
15-May-05,000165,"Malvino, Albert Paul & Brown, Jerald",Digital computer electronics .-3rd .-9780074622353,"Tata McGraw-Hill Publishing Company Limited, New Delhi",1993,"vi, 522 p.",9780074622353,Union Book Stall,"621.381 958MAL",590.00,"B:T-23/200515-May-2005",
,000166,,,,,,,,,,,
15-May-05,000167,"Roberts, Michael J.",Signals and systems : analysis using transform methods and MATLAB .-1st .-9780072930443,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2003,"xvii, 1054 p.",9780072930443,Union Book Stall,"621.382 23ROB",395.00,"B:T-23/200515-May-2005",
15-May-05,000168,"Hsu, Hwei P.",Schaum's outline of theory and problems of signals and systems .-1st .-9780070586130,"Tata McGraw-Hill Publishing Company Limited, New Delhi",2004,"ix, 466 p.",9780070586130,Union Book Stall,"621.382 23HSU",500.00,"B:T-22/200515-May-2005",
,000169,,,,,,,,,,,
